Indicator,Acronym,Description,Final units,Status,CheckCol,UnitsTable
Clay,Clay,"The proportion of sand, silt, and clay minerals in the soil. Soil texture provides information on how soils potentially interact with and stabilize carbon. Clayey soils hold water and nutrients tightly and more efficiently store carbon, but can also cause poor drainage and compaction if present in high amounts. Sandy soils drain water quickly and have good aeration but hold fewer nutrients and moisture and are slower to gain carbon compared to finer soils.",%,AgC,clay,%
Silt,Silt,"The proportion of sand, silt, and clay minerals in the soil. Soil texture provides information on how soils potentially interact with and stabilize carbon. Clayey soils hold water and nutrients tightly and more efficiently store carbon, but can also cause poor drainage and compaction if present in high amounts. Sandy soils drain water quickly and have good aeration but hold fewer nutrients and moisture and are slower to gain carbon compared to finer soils.",%,AgC,silt,%
Sand,Sand,"The proportion of sand, silt, and clay minerals in the soil. Soil texture provides information on how soils potentially interact with and stabilize carbon. Clayey soils hold water and nutrients tightly and more efficiently store carbon, but can also cause poor drainage and compaction if present in high amounts. Sandy soils drain water quickly and have good aeration but hold fewer nutrients and moisture and are slower to gain carbon compared to finer soils.",%,AgC,sand,%
Soil pH,pH,"The acidity or alkalinity of soil. pH impacts the nutrient availability, microbes, and plant dynamics that in turn regulate the amount of carbon entering and cycling in the soil.",0-14 where <7 is acidic and >7 is alkaline,AgC,ph,NA
Mineral Associated Organic Nitrogen,MAON,"Mineral Associated Organic Nitrogen refers to organic nitrogen compounds that are closely bound to soil minerals, such as clay and silt. This association protects the nitrogen from rapid decomposition, making it a more stable and long-term nitrogen reserve in the soil that slowly becomes available to plants.",% mass of MAON over soil mass,Extra,maon,%
Total Soil Nitrogen,N,"Total soil nitrogen refers to the complete amount of nitrogen present in the soil, including both organic forms (like decomposing plant and animal material) and inorganic forms (such as ammonium and nitrate). It represents the soil’s overall nitrogen reserve available for microbial activity and, eventually, plant uptake.",% mass of total soil nitrogen over soil mass,Extra,total_n,%
Cation Exchange Capacity,CEC,"Cation exchange capacity is a measure of how well soil can hold and exchange positively charged micronutrients (i.e. Ca, Mg). Soils with higher CEC can store more of these essential nutrients, making them more available to plants over time.",Number of cations (milliequivalents) that can be held and exchanged in 100g of soil,Extra,cec,meq/100g
CO2 Respiration,CO2 Resp,"The CO₂ respiration test measures how much carbon dioxide is released from soil over a set period, indicating the level of potential microbial activity. Higher CO₂ levels usually mean a more active, living soil with better organic matter breakdown and nutrient cycling.",Parts per million,Extra,co2_resp_ppm,ppm
Nitrate,NO3,"Nitrate is a highly available form of nitrogen in the soil that plants readily absorb and use for growth. Nitrate can easily leach from the soil into groundwater, making timely application and monitoring important for both crop health and environmental protection.",Parts per million,Extra,no3_ppm,ppm
Phosphorus,P,"A soil macronutrient essential for energy transfer, root development, and early plant growth. While it often exists in unavailable forms in this soil, this is a measure of available P accessible to plants to support photosynthesis and flowering. ",Parts per million,Extra,p_ppm,ppm
Potassium,K,"A soil macronutrient that supports overall plant health by regulating water uptake, activating enzymes for photosynthesis, and improving resistance to drought and disease.",Parts per million,Extra,k_ppm,ppm
Sulfur,S,"Soil micronutrients (S, Ca, Mg, Na, Zn, Fe, Mn, Cu) are essential elements required by plants in very small amounts to support critical functions such as growth, reproduction, and resistance to stress. Though needed in trace quantities, their absence can significantly impair plant health and development.",Parts per million,Extra,s_ppm,ppm
Calcium,Ca,"Soil micronutrients (S, Ca, Mg, Na, Zn, Fe, Mn, Cu) are essential elements required by plants in very small amounts to support critical functions such as growth, reproduction, and resistance to stress. Though needed in trace quantities, their absence can significantly impair plant health and development.",Parts per million,Extra,ca_ppm,ppm
Magnesium,Mg,"Soil micronutrients (S, Ca, Mg, Na, Zn, Fe, Mn, Cu) are essential elements required by plants in very small amounts to support critical functions such as growth, reproduction, and resistance to stress. Though needed in trace quantities, their absence can significantly impair plant health and development.",Parts per million,Extra,mg_ppm,ppm
Sodium,Na,"Soil micronutrients (S, Ca, Mg, Na, Zn, Fe, Mn, Cu) are essential elements required by plants in very small amounts to support critical functions such as growth, reproduction, and resistance to stress. Though needed in trace quantities, their absence can significantly impair plant health and development.",Parts per million,Extra,na_ppm,ppm
Zinc,Zn,"Soil micronutrients (S, Ca, Mg, Na, Zn, Fe, Mn, Cu) are essential elements required by plants in very small amounts to support critical functions such as growth, reproduction, and resistance to stress. Though needed in trace quantities, their absence can significantly impair plant health and development.",Parts per million,Extra,zn_ppm,ppm
Iron,Fe,"Soil micronutrients (S, Ca, Mg, Na, Zn, Fe, Mn, Cu) are essential elements required by plants in very small amounts to support critical functions such as growth, reproduction, and resistance to stress. Though needed in trace quantities, their absence can significantly impair plant health and development.",Parts per million,Extra,fe_ppm,ppm
Manganese,Mn,"Soil micronutrients (S, Ca, Mg, Na, Zn, Fe, Mn, Cu) are essential elements required by plants in very small amounts to support critical functions such as growth, reproduction, and resistance to stress. Though needed in trace quantities, their absence can significantly impair plant health and development.",Parts per million,Extra,mn_ppm,ppm
Copper,Cu,"Soil micronutrients (S, Ca, Mg, Na, Zn, Fe, Mn, Cu) are essential elements required by plants in very small amounts to support critical functions such as growth, reproduction, and resistance to stress. Though needed in trace quantities, their absence can significantly impair plant health and development.",Parts per million,Extra,cu_ppm,ppm
